label,n,mean_score,p50_score,p95_score,max_score,flagged_count,flagged_rate,role
crash,168,0.4381027380952381,0.431591,0.5000384,0.570228,28,0.16666666666666666,detection_estimate
normal_good,240,0.42495465416666667,0.4217775,0.46459839999999997,0.533514,12,0.05,false_positive_estimate
unsatisfactory,267,0.44204090262172285,0.435337,0.5063428,0.581796,56,0.20973782771535582,detection_estimate
